interaction_count,seed_count,mean_raw_ramp_reward,median_raw_ramp_reward,mean_raw_incremental_ramp_impact,median_raw_incremental_ramp_impact,mean_episode_count,mean_elapsed_seconds
186368,10,6.0031899451122125e-05,5.9761598199575614e-05,-6.0031899451122125e-05,-5.9761598199575614e-05,76.0,18097.653393419972
188416,10,6.018698729525847e-05,5.9928944107842956e-05,-6.018698729525847e-05,-5.9928944107842956e-05,76.0,18126.613376710004
190464,10,6.081254251833206e-05,6.091297744020023e-05,-6.081254251833206e-05,-6.091297744020023e-05,76.0,18155.537204759963
192512,10,6.02795181267893e-05,6.033357125298489e-05,-6.02795181267893e-05,-6.033357125298489e-05,76.0,18186.07516953002
194560,10,6.0484073823621037e-05,6.0076352997770946e-05,-6.0484073823621037e-05,-6.0076352997770946e-05,76.0,18215.399343709974
196608,10,6.059094002705572e-05,6.092493570592746e-05,-6.059094002705572e-05,-6.092493570592746e-05,76.0,18243.506620009965
198656,10,6.0857249670421677e-05,6.100547002981399e-05,-6.0857249670421677e-05,-6.100547002981399e-05,76.0,18271.442058479974
200704,10,6.112154574036798e-05,6.0958763028803974e-05,-6.112154574036798e-05,-6.0958763028803974e-05,76.0,18298.899967250018
202752,10,6.115563956895596e-05,6.143383033673129e-05,-6.115563956895596e-05,-6.143383033673129e-05,76.0,18326.81588833998
204800,10,6.0876387360002253e-05,6.09228220564458e-05,-6.0876387360002253e-05,-6.09228220564458e-05,76.0,18354.576885459945
206848,10,6.177249296558234e-05,6.164740826135621e-05,-6.177249296558234e-05,-6.164740826135621e-05,76.0,18382.23913445999
208896,10,6.140201346428547e-05,6.191466515149282e-05,-6.140201346428547e-05,-6.191466515149282e-05,76.0,18410.471247199992
210944,10,6.0914319235156295e-05,6.108584823138837e-05,-6.0914319235156295e-05,-6.108584823138837e-05,76.0,18439.292083039974
212992,10,6.171087514032456e-05,6.164007388744976e-05,-6.171087514032456e-05,-6.164007388744976e-05,76.0,18467.912439349944
215040,10,6.19600226667024e-05,6.165082023937391e-05,-6.19600226667024e-05,-6.165082023937391e-05,76.0,18496.17315397004
217088,10,6.216579012856018e-05,6.117340308220458e-05,-6.216579012856018e-05,-6.117340308220458e-05,76.0,18524.192191400005
219136,10,6.192327578651709e-05,6.235383020300282e-05,-6.192327578651709e-05,-6.235383020300282e-05,76.0,18552.17693788996
221184,10,6.13731759565532e-05,6.101234608653612e-05,-6.13731759565532e-05,-6.101234608653612e-05,76.0,18580.22484450997
223232,10,6.248365303370534e-05,6.224770094030737e-05,-6.248365303370534e-05,-6.224770094030737e-05,72.0,18608.31367690002
225280,10,6.252550628048854e-05,6.27386408402955e-05,-6.252550628048854e-05,-6.27386408402955e-05,76.0,18637.466525190022
227328,10,6.151955117655323e-05,6.125627847297695e-05,-6.151955117655323e-05,-6.125627847297695e-05,76.0,18666.611717039974
229376,10,6.16152773406028e-05,6.206901865138975e-05,-6.16152773406028e-05,-6.206901865138975e-05,76.0,18696.41225864999
231424,10,6.305590750471225e-05,6.340046472218186e-05,-6.305590750471225e-05,-6.340046472218186e-05,76.0,18725.867149870006
233472,10,6.168978329069322e-05,6.166341727818138e-05,-6.168978329069322e-05,-6.166341727818138e-05,76.0,18755.57068830994
235520,10,6.315604651430756e-05,6.264385423104295e-05,-6.315604651430756e-05,-6.264385423104295e-05,76.0,18784.652753039984
237568,10,6.24377937972002e-05,6.26069694379817e-05,-6.24377937972002e-05,-6.26069694379817e-05,76.0,18814.236664429984
239616,10,6.341153655119917e-05,6.343969507558242e-05,-6.341153655119917e-05,-6.343969507558242e-05,76.0,18845.418324139995
241664,10,6.323691455821234e-05,6.316147051749531e-05,-6.323691455821234e-05,-6.316147051749531e-05,76.0,18877.170148540008
243712,10,6.244337868760125e-05,6.269012517735292e-05,-6.244337868760125e-05,-6.269012517735292e-05,76.0,18908.62180319
245760,10,6.18979436396731e-05,6.226619727643057e-05,-6.18979436396731e-05,-6.226619727643057e-05,76.0,18940.402501949993
247808,10,6.244025832717187e-05,6.199757202360776e-05,-6.244025832717187e-05,-6.199757202360776e-05,76.0,18972.03740757997
249856,10,6.352501097131019e-05,6.340910367650345e-05,-6.352501097131019e-05,-6.340910367650345e-05,76.0,19003.724404610017
251904,10,6.359258069692865e-05,6.397914942827332e-05,-6.359258069692865e-05,-6.397914942827332e-05,76.0,19034.544236049966
253952,10,6.287023485416594e-05,6.281651855557648e-05,-6.287023485416594e-05,-6.281651855557648e-05,76.0,19063.989731529982
256000,10,6.363335681000333e-05,6.325893202973789e-05,-6.363335681000333e-05,-6.325893202973789e-05,76.0,19092.708736149943
258048,10,6.331850170328294e-05,6.300644731766313e-05,-6.331850170328294e-05,-6.300644731766313e-05,76.0,19119.841993369977
260096,10,6.355408112128435e-05,6.358982800753823e-05,-6.355408112128435e-05,-6.358982800753823e-05,76.0,19146.87349307998
262144,10,6.445822974142766e-05,6.44260404470706e-05,-6.445822974142766e-05,-6.44260404470706e-05,76.0,19172.722978349986
264192,10,6.414800976949295e-05,6.400147401309028e-05,-6.414800976949295e-05,-6.400147401309028e-05,76.0,19198.20539955001
266240,10,6.284537291651634e-05,6.268881813863648e-05,-6.284537291651634e-05,-6.268881813863648e-05,76.0,19223.778273830005
268288,10,6.266363312382707e-05,6.243965325985787e-05,-6.266363312382707e-05,-6.243965325985787e-05,76.0,19249.32239291
270336,10,6.416544388961101e-05,6.302917220816449e-05,-6.416544388961101e-05,-6.302917220816449e-05,76.0,19274.874672629987
272384,10,6.462215640548385e-05,6.515815969301557e-05,-6.462215640548385e-05,-6.515815969301557e-05,76.0,19300.819921029964
274432,10,6.286374936171557e-05,6.242612496389473e-05,-6.286374936171557e-05,-6.242612496389473e-05,76.0,19326.936369040028
276480,10,6.453332015806995e-05,6.470491576234689e-05,-6.453332015806995e-05,-6.470491576234689e-05,76.0,19352.78818127997
278528,10,6.453623755181198e-05,6.440644721501381e-05,-6.453623755181198e-05,-6.440644721501381e-05,72.0,19378.821547460022
280576,10,6.482518903599716e-05,6.480929440883868e-05,-6.482518903599716e-05,-6.480929440883868e-05,76.0,19404.862412509974
282624,10,6.368297294241555e-05,6.321881594945647e-05,-6.368297294241555e-05,-6.321881594945647e-05,76.0,19430.872180289985
284672,10,6.428132666263506e-05,6.42562781664995e-05,-6.428132666263506e-05,-6.42562781664995e-05,76.0,19456.620086109964
286720,10,6.392952836610761e-05,6.386800433048194e-05,-6.392952836610761e-05,-6.386800433048194e-05,76.0,19482.54546574999
288768,10,6.513673315859394e-05,6.503897858011827e-05,-6.513673315859394e-05,-6.503897858011827e-05,76.0,19509.75594953997
290816,10,6.4703798864243e-05,6.513292603023689e-05,-6.4703798864243e-05,-6.513292603023689e-05,76.0,19536.962278069997
292864,10,6.388291404066107e-05,6.37336428935474e-05,-6.388291404066107e-05,-6.37336428935474e-05,76.0,19564.92493219003
294912,10,6.548049243225238e-05,6.538359335804578e-05,-6.548049243225238e-05,-6.538359335804578e-05,76.0,19594.33668427998
296960,10,6.489165938544312e-05,6.484751379301787e-05,-6.489165938544312e-05,-6.484751379301787e-05,76.0,19625.61723955001
299008,10,6.627653392848996e-05,6.655148708474494e-05,-6.627653392848996e-05,-6.655148708474494e-05,76.0,19656.021875060025
301056,10,6.449913512913167e-05,6.464066775392219e-05,-6.449913512913167e-05,-6.464066775392219e-05,76.0,19684.069087259984
303104,10,6.496751107093411e-05,6.471507429661208e-05,-6.496751107093411e-05,-6.471507429661208e-05,76.0,19711.163733829955
305152,10,6.440742902267482e-05,6.414446414847448e-05,-6.440742902267482e-05,-6.414446414847448e-05,76.0,19739.079974130007
307200,10,6.481062489581252e-05,6.509393548613835e-05,-6.481062489581252e-05,-6.509393548613835e-05,76.0,19767.77370186001
309248,10,6.516606534602081e-05,6.49654364295889e-05,-6.516606534602081e-05,-6.49654364295889e-05,76.0,19796.87558054994
311296,10,6.514614669579484e-05,6.475063988649614e-05,-6.514614669579484e-05,-6.475063988649614e-05,76.0,19825.28861312
313344,10,6.464054524595298e-05,6.4489026007083e-05,-6.464054524595298e-05,-6.4489026007083e-05,76.0,19852.01813266999
315392,10,6.568770165316939e-05,6.611621998941548e-05,-6.568770165316939e-05,-6.611621998941548e-05,76.0,19878.647923619974
317440,10,6.538101124205085e-05,6.50560701206544e-05,-6.538101124205085e-05,-6.50560701206544e-05,76.0,19904.88396512
319488,10,6.591686282587471e-05,6.652628630806476e-05,-6.591686282587471e-05,-6.652628630806476e-05,76.0,19931.025291809976
321536,10,6.536606386786011e-05,6.590384328048592e-05,-6.536606386786011e-05,-6.590384328048592e-05,76.0,19956.701116400025
323584,10,6.470865594828987e-05,6.477072410084324e-05,-6.470865594828987e-05,-6.477072410084324e-05,76.0,19982.51259023
325632,10,6.565253831677863e-05,6.603163727798424e-05,-6.565253831677863e-05,-6.603163727798424e-05,76.0,20008.673181240003
327680,10,6.58648442663426e-05,6.611963405758575e-05,-6.58648442663426e-05,-6.611963405758575e-05,76.0,20034.487473180005
329728,10,6.549090482108194e-05,6.489341768722476e-05,-6.549090482108194e-05,-6.489341768722476e-05,76.0,20060.197875100002
331776,10,6.655059965476399e-05,6.629344509394977e-05,-6.655059965476399e-05,-6.629344509394977e-05,76.0,20086.383375469966
333824,10,6.701324639869315e-05,6.695998894990967e-05,-6.701324639869315e-05,-6.695998894990967e-05,72.0,20112.39348823
335872,10,6.478970074512843e-05,6.439805729872722e-05,-6.478970074512843e-05,-6.439805729872722e-05,76.0,20138.378117440014
337920,10,6.661697848585254e-05,6.608802039003499e-05,-6.661697848585254e-05,-6.608802039003499e-05,76.0,20164.24004216001
339968,10,6.632846976383564e-05,6.633597673370202e-05,-6.632846976383564e-05,-6.633597673370202e-05,76.0,20190.06214252
342016,10,6.53954565697547e-05,6.538366456385926e-05,-6.53954565697547e-05,-6.538366456385926e-05,76.0,20215.676999319996
344064,10,6.551289985874098e-05,6.597428519670683e-05,-6.551289985874098e-05,-6.597428519670683e-05,76.0,20240.804489339982
346112,10,6.745814581712761e-05,6.751378015699692e-05,-6.745814581712761e-05,-6.751378015699692e-05,76.0,20266.01466664998
348160,10,6.628011081558437e-05,6.636278584961214e-05,-6.628011081558437e-05,-6.636278584961214e-05,76.0,20291.30049781997
350208,10,6.591345259319233e-05,6.573373184046727e-05,-6.591345259319233e-05,-6.573373184046727e-05,76.0,20316.870545340003
352256,10,6.722004344494684e-05,6.682145180377384e-05,-6.722004344494684e-05,-6.682145180377384e-05,76.0,20342.347776359995
354304,10,6.620914125735884e-05,6.632487213194182e-05,-6.620914125735884e-05,-6.632487213194182e-05,76.0,20367.945550390006
356352,10,6.682136037661229e-05,6.624130894184427e-05,-6.682136037661229e-05,-6.624130894184427e-05,76.0,20392.97844681004
358400,10,6.687552259982942e-05,6.69532983958421e-05,-6.687552259982942e-05,-6.69532983958421e-05,76.0,20417.89888753998
360448,10,6.568286432117896e-05,6.583889069504641e-05,-6.568286432117896e-05,-6.583889069504641e-05,76.0,20442.92437942999
362496,10,6.718063620319797e-05,6.676010221752144e-05,-6.718063620319797e-05,-6.676010221752144e-05,76.0,20468.336071150006
364544,10,6.645661930163333e-05,6.632723899072076e-05,-6.645661930163333e-05,-6.632723899072076e-05,76.0,20493.716521440005
366592,10,6.624395775455178e-05,6.683295138262832e-05,-6.624395775455178e-05,-6.683295138262832e-05,76.0,20518.66113918
368640,10,6.687624410677118e-05,6.671406868809566e-05,-6.687624410677118e-05,-6.671406868809566e-05,76.0,20543.840900470015
370688,10,6.727740066941271e-05,6.711724445977389e-05,-6.727740066941271e-05,-6.711724445977389e-05,76.0,20568.933436779957
372736,10,6.676110561760001e-05,6.691470486975099e-05,-6.676110561760001e-05,-6.691470486975099e-05,76.0,20593.70677197997
374784,10,6.793258114236437e-05,6.798035109263317e-05,-6.793258114236437e-05,-6.798035109263317e-05,76.0,20618.57881337998
376832,10,6.70092696047685e-05,6.716975671418534e-05,-6.70092696047685e-05,-6.716975671418534e-05,76.0,20643.361819919966
378880,10,6.651129497962258e-05,6.695087165321265e-05,-6.651129497962258e-05,-6.695087165321265e-05,76.0,20667.97829038
380928,10,6.665640904465022e-05,6.759743269410166e-05,-6.665640904465022e-05,-6.759743269410166e-05,76.0,20692.99707594998
382976,10,6.656660375152578e-05,6.690861661063838e-05,-6.656660375152578e-05,-6.690861661063838e-05,76.0,20717.699737429968
385024,10,6.735740452729167e-05,6.736615662915748e-05,-6.735740452729167e-05,-6.736615662915748e-05,76.0,20742.235921469983
387072,10,6.785319732419125e-05,6.86566363852409e-05,-6.785319732419125e-05,-6.86566363852409e-05,76.0,20767.094568899996
389120,10,6.693869144474378e-05,6.746346919115822e-05,-6.693869144474378e-05,-6.746346919115822e-05,72.0,20792.10717797999
391168,10,6.743117029936536e-05,6.70789652872038e-05,-6.743117029936536e-05,-6.70789652872038e-05,76.0,20816.72343098002
393216,10,6.784065621185347e-05,6.813542505696232e-05,-6.784065621185347e-05,-6.813542505696232e-05,76.0,20841.054186619982
395264,10,6.690731560260841e-05,6.69886425872138e-05,-6.690731560260841e-05,-6.69886425872138e-05,76.0,20865.66069257995
397312,10,6.747653621100243e-05,6.787914610790884e-05,-6.747653621100243e-05,-6.787914610790884e-05,76.0,20890.302247139996
399360,10,6.849209515208755e-05,6.763712266907413e-05,-6.849209515208755e-05,-6.763712266907413e-05,76.0,20914.95503676997
401408,10,6.781007484180154e-05,6.703481827174402e-05,-6.781007484180154e-05,-6.703481827174402e-05,76.0,20939.436423959978
403456,10,6.779038858527367e-05,6.801603885795266e-05,-6.779038858527367e-05,-6.801603885795266e-05,76.0,20964.10340724995
405504,10,6.680600909041563e-05,6.727033537181678e-05,-6.680600909041563e-05,-6.727033537181678e-05,76.0,20988.890825730003
407552,10,6.744234535720295e-05,6.700280413295237e-05,-6.744234535720295e-05,-6.700280413295237e-05,76.0,21013.682604259975
409600,10,6.80273642909206e-05,6.805512280223417e-05,-6.80273642909206e-05,-6.805512280223417e-05,76.0,21038.32719528999
411648,10,6.715690544619387e-05,6.70992632505583e-05,-6.715690544619387e-05,-6.70992632505583e-05,76.0,21063.07549981999
413696,10,6.747481200439501e-05,6.766651590526537e-05,-6.747481200439501e-05,-6.766651590526537e-05,76.0,21087.65257267002
415744,10,6.809235358109389e-05,6.80918409590554e-05,-6.809235358109389e-05,-6.80918409590554e-05,76.0,21112.213216369993
417792,10,6.790001216249138e-05,6.706740540687837e-05,-6.790001216249138e-05,-6.706740540687837e-05,76.0,21136.678348749992
419840,10,6.820584168682164e-05,6.819555905767066e-05,-6.820584168682164e-05,-6.819555905767066e-05,76.0,21161.16727309001
421888,10,6.834608773022761e-05,6.845103001996275e-05,-6.834608773022761e-05,-6.845103001996275e-05,76.0,21185.455089519986
423936,10,6.813427762925073e-05,6.818446377512045e-05,-6.813427762925073e-05,-6.818446377512045e-05,76.0,21209.773069750005
425984,10,6.828863105461059e-05,6.819252779012339e-05,-6.828863105461059e-05,-6.819252779012339e-05,76.0,21233.849705420016
428032,10,6.757802679446828e-05,6.742704360166877e-05,-6.757802679446828e-05,-6.742704360166877e-05,76.0,21257.96795243998
430080,10,6.774345644469894e-05,6.804877198663613e-05,-6.774345644469894e-05,-6.804877198663613e-05,76.0,21282.33044393996
432128,10,6.924094379614938e-05,6.890870270892215e-05,-6.924094379614938e-05,-6.890870270892215e-05,76.0,21306.859434009973
434176,10,6.838908307585748e-05,6.877138987448808e-05,-6.838908307585748e-05,-6.877138987448808e-05,76.0,21331.377538849996
436224,10,6.718989495885594e-05,6.782988683324461e-05,-6.718989495885594e-05,-6.782988683324461e-05,76.0,21356.08310016999
438272,10,6.802174883434762e-05,6.791615574647247e-05,-6.802174883434762e-05,-6.791615574647247e-05,76.0,21380.62664628001
440320,10,6.877991437253204e-05,6.903451742601462e-05,-6.877991437253204e-05,-6.903451742601462e-05,76.0,21404.868506549974
442368,10,6.832750286810192e-05,6.879282545782358e-05,-6.832750286810192e-05,-6.879282545782358e-05,76.0,21429.154004789958
444416,10,6.849707336699057e-05,6.812680246100268e-05,-6.849707336699057e-05,-6.812680246100268e-05,72.0,21453.686407959998
